sym,jours,couverture,n_avec,jours_avec,n_contre,jours_contre,devenir_avec,devenir_contre,separation,ic_par_jour,separation_hasard,cout_obeissance,n_fantomes
ES,60,0.7,165,29,117,19,-0.0914,0.6889,-0.7803,0.771,-0.305,19.56,110
NQ,60,0.8333,257,40,89,26,0.1081,0.3683,-0.2602,0.5432,-0.0665,26.91,84
