sym,jours,semaines,trous,couverture_sans_trou,separation,ic_bloc_semaine,hasard_p5,hasard_p95,sans_declencheur,sans_declencheur_ic,verdict
ES,60,13,1,0.8305,-0.4144284650930064,0.6257406841235251,-0.7567459341153481,0.7784278215815919,-0.7072012061430892,0.5601512287987737,"N'INFORME PAS — -0.414 +/- 0.626, zero dedans"
NQ,60,13,1,0.8983,-0.24659105681160606,0.5963807270843287,-0.4225507422286639,0.43480763239498704,-0.5156933116238441,0.4764496661139967,"N'INFORME PAS — -0.247 +/- 0.596, zero dedans"
