feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
n_long_up_cluster_within_0_2pct,1.0,5.0,5.0,NQ plus grand,False
n_long_dn_cluster_within_0_2pct,1.0,5.0,5.0,NQ plus grand,False
dist_gex_nearest_dn,-26.0,-129.0,4.961538461538462,NQ plus grand,False
ctx_va_developing_10,7.0,32.5,4.642857142857143,NQ plus grand,False
dist_mq_put,-124.0,-572.0,4.612903225806452,NQ plus grand,False
dist_vwap_d,24.3516,111.0586,4.560628459731598,NQ plus grand,False
dist_cur_vwap_vp,24.3535,111.0625,4.56043279200115,NQ plus grand,False
next_wall_dist_ticks,62.0,273.0,4.403225806451613,NQ plus grand,False
dist_session_hvn_below,14.0,61.0,4.357142857142857,NQ plus grand,False
single_print_count,31.0,134.0,4.32258064516129,NQ plus grand,False
dist_london_high_pct,-0.025858,-0.1086805,4.202973934565705,NQ plus grand,False
poc_separation_ticks,24.0,100.0,4.166666666666667,NQ plus grand,False
vwap_slope_10,0.5887,2.4424,4.148802446067607,NQ plus grand,False
dist_pdl,65.0,265.5,4.084615384615384,NQ plus grand,False
vwap_slope_30,0.7661,3.0762,4.015402688944002,NQ plus grand,False
vwap_w_sd3u,7833.87,30515.555,3.8953358940089635,NQ plus grand,False
vwap_m_sd3u,7964.59,30949.870000000003,3.885933864768934,NQ plus grand,False
vwap_w_sd2u,7810.03,30287.065000000002,3.8779703791150615,NQ plus grand,False
vwap_m_sd2u,7888.15,30514.095,3.868346190171333,NQ plus grand,False
prev_vah_lvl,7767.75,30001.0,3.862250973576647,NQ plus grand,False
vwap_w_sd1u,7781.58,30046.465,3.861229339028835,NQ plus grand,False
pdh,7770.5,30001.75,3.8609806318769704,NQ plus grand,False
prev_vpoc_lvl,7741.75,29850.0,3.8557173765621466,NQ plus grand,False
vwap_m_sd1u,7812.3,30076.28,3.8498623964773495,NQ plus grand,False
vwap_w,7748.98,29811.12,3.847102457355678,NQ plus grand,False
ib_high,7749.625,29749.5,3.838830911173121,NQ plus grand,False
composite_poc_20d,7773.75,29841.0,3.8386878919440424,NQ plus grand,False
composite_poc_5d,7773.75,29841.0,3.8386878919440424,NQ plus grand,False
prev_val_lvl,7725.75,29644.0,3.837038475228942,NQ plus grand,False
sess_high,7770.5,29811.5,3.8364970079145486,NQ plus grand,False
london_high,7758.25,29757.25,3.835562143524635,NQ plus grand,False
asia_high,7747.5,29707.0,3.8343981929654727,NQ plus grand,False
open_cash,7743.5,29690.25,3.834215793891651,NQ plus grand,False
open_830,7739.25,29670.0,3.8337048163581744,NQ plus grand,False
open_830_lvl,7739.25,29670.0,3.8337048163581744,NQ plus grand,False
vwap_d_sd3u,7784.55,29841.355,3.833407839887983,NQ plus grand,False
cash_high,7766.5,29769.75,3.8330972767655958,NQ plus grand,False
us_high,7766.5,29769.75,3.8330972767655958,NQ plus grand,False
ovn_high,7764.5,29757.25,3.8324747247086095,NQ plus grand,False
open_cash_lvl,7744.25,29672.5,3.831552442134487,NQ plus grand,False
ny_open,7744.25,29672.5,3.831552442134487,NQ plus grand,False
vwap_w_sd1d,7718.31,29564.495000000003,3.8304363260869283,NQ plus grand,False
pvwap_sd1u,7746.28,29671.14,3.830372772479177,NQ plus grand,False
asia_open,7732.25,29617.25,3.8303533900223092,NQ plus grand,False
vwap_m,7736.98,29634.245,3.8302082983282886,NQ plus grand,False
price_1030,7741.9375,29649.1875,3.82968572143601,NQ plus grand,False
asia_low,7727.25,29592.0,3.8295642046006018,NQ plus grand,False
cur_vpoc,7741.75,29640.0,3.828591726676785,NQ plus grand,False
profile_hvn_dominant,7741.75,29640.0,3.828591726676785,NQ plus grand,False
cur_vpoc_lvl,7741.75,29640.0,3.828591726676785,NQ plus grand,False
ovn_low,7727.25,29578.25,3.8277847876023166,NQ plus grand,False
cur_vah,7755.5,29683.5,3.8274128038166464,NQ plus grand,False
cur_vah_lvl,7755.5,29683.5,3.8274128038166464,NQ plus grand,False
pvwap,7738.45,29615.345505,3.827038425653716,NQ plus grand,False
vwap_d_sd2u,7767.96,29725.83,3.826722846152658,NQ plus grand,False
sess_low,7713.25,29514.0,3.826402618870126,NQ plus grand,False
london_low,7731.25,29578.25,3.825804365400162,NQ plus grand,False
pdl,7715.0,29514.0,3.8255346727154893,NQ plus grand,False
pvwap_sd1d,7730.62,29573.13,3.8254538445816766,NQ plus grand,False
cur_val,7733.25,29581.125,3.8251866938221317,NQ plus grand,False
cur_val_lvl,7733.25,29581.125,3.8251866938221317,NQ plus grand,False
vwap_d,7747.53,29634.545,3.8250313325666374,NQ plus grand,False
vwap_d_sd1d,7734.54,29582.199999999997,3.8246876995917014,NQ plus grand,False
single_print_mid,7751.5,29638.0,3.8235180287686252,NQ plus grand,False
prev_vah,7764.25,29686.25,3.823453649740799,NQ plus grand,False
vwap_d_sd1u,7761.05,29672.795,3.823296461174712,NQ plus grand,False
ib_low,7722.1875,29520.875,3.822864311440249,NQ plus grand,False
us_low,7720.75,29514.0,3.8226856199203447,NQ plus grand,False
cash_low,7720.75,29514.0,3.8226856199203447,NQ plus grand,False
bar_high,7752.5,29634.125,3.8225249919380846,NQ plus grand,False
high,7752.5,29634.125,3.8225249919380846,NQ plus grand,False
open,7751.25,29625.625,3.822044831478794,NQ plus grand,False
price,7751.25,29625.125,3.8219803257539104,NQ plus grand,False
close,7751.25,29625.125,3.8219803257539104,NQ plus grand,False
bar_low,7750.25,29617.25,3.821457372342828,NQ plus grand,False
open_830_et,7750.25,29617.25,3.821457372342828,NQ plus grand,False
low,7750.25,29617.25,3.821457372342828,NQ plus grand,False
prev_vpoc,7756.5,29640.0,3.8213111583832915,NQ plus grand,False
vwap_d_sd3d,7725.44,29502.545,3.8188821607571866,NQ plus grand,False
vwap_d_sd2d,7733.29,29527.415,3.818221610724543,NQ plus grand,False
vwap_w_sd3d,7664.78,29254.0,3.8166783651976965,NQ plus grand,False
vwap_w_sd2d,7689.49,29329.46,3.814226951332273,NQ plus grand,False
prev_val,7754.0,29572.5,3.8138380190869228,NQ plus grand,False
vwap_m_sd1d,7663.93,29207.57,3.811043420281761,NQ plus grand,False
vwap_m_sd2d,7601.25,28796.045,3.788330208847229,NQ plus grand,False
vwap_m_sd3d,7538.72,28402.98,3.767613069592716,NQ plus grand,False
dist_cur_val,-4.0,-15.0,3.75,NQ plus grand,False
n_color_dn_zones_active,4.0,15.0,3.75,NQ plus grand,False
dist_ext_edge_sell,3.0,10.0,3.3333333333333335,NQ plus grand,False
n_color_up_zones_active,3.0,10.0,3.3333333333333335,NQ plus grand,False
dist_mq_hvl_0dte_pct,0.22,0.7,3.1818181818181817,NQ plus grand,False
